<http://data.ehri-project.eu/vocabularies/ehri-terms/1068>	Press
<http://data.ehri-project.eu/vocabularies/ehri-terms/1095>	Armed resistance
<http://data.ehri-project.eu/vocabularies/ehri-terms/1130>	Trials
<http://data.ehri-project.eu/vocabularies/ehri-terms/329>	Antisemitism
<http://data.ehri-project.eu/vocabularies/ehri-terms/496>	Concentration camps
<http://data.ehri-project.eu/vocabularies/ehri-terms/519>	Deportees
<http://data.ehri-project.eu/vocabularies/ehri-terms/565>	Perpetrators
<http://data.ehri-project.eu/vocabularies/ehri-terms/673>	Arts
<http://data.ehri-project.eu/vocabularies/ehri-terms/705>	Museums
<http://data.ehri-project.eu/vocabularies/ehri-terms/726>	Religious life
<http://data.ehri-project.eu/vocabularies/ehri-terms/800>	Commemoration
<http://data.ehri-project.eu/vocabularies/ehri-terms/868>	Jewish organisations
<http://data.ehri-project.eu/vocabularies/ehri-terms/904>	Holocaust survivors
<http://data.ehri-project.eu/vocabularies/ehri-terms/947>	Politics
<http://data.ehri-project.eu/vocabularies/ehri-terms/986>	Propaganda
