<http://data.ehri-project.eu/vocabularies/ehri-terms/1042>	Restitution
<http://data.ehri-project.eu/vocabularies/ehri-terms/1159>	Third Reich
<http://data.ehri-project.eu/vocabularies/ehri-terms/1349>	Weimar Republic
<http://data.ehri-project.eu/vocabularies/ehri-terms/212>	Resistance
<http://data.ehri-project.eu/vocabularies/ehri-terms/285>	Medicine
<http://data.ehri-project.eu/vocabularies/ehri-terms/329>	Antisemitism
<http://data.ehri-project.eu/vocabularies/ehri-terms/381>	National Socialism
<http://data.ehri-project.eu/vocabularies/ehri-terms/641>	Persecution
<http://data.ehri-project.eu/vocabularies/ehri-terms/809>	Daily life
<http://data.ehri-project.eu/vocabularies/ehri-terms/906>	Zionism
