<http://data.ehri-project.eu/vocabularies/ehri-terms/1049>	War economy
<http://data.ehri-project.eu/vocabularies/ehri-terms/1077>	Armed forces
<http://data.ehri-project.eu/vocabularies/ehri-terms/1080>	Wars
<http://data.ehri-project.eu/vocabularies/ehri-terms/1119>	Police
<http://data.ehri-project.eu/vocabularies/ehri-terms/1124>	Gendarmerie
<http://data.ehri-project.eu/vocabularies/ehri-terms/1227>	Denazification
<http://data.ehri-project.eu/vocabularies/ehri-terms/282>	Hospitals and Clinics
<http://data.ehri-project.eu/vocabularies/ehri-terms/285>	Medicine
<http://data.ehri-project.eu/vocabularies/ehri-terms/304>	Refugees
<http://data.ehri-project.eu/vocabularies/ehri-terms/321>	Refugee camps
<http://data.ehri-project.eu/vocabularies/ehri-terms/511>	Prisoners of war
