<http://data.ehri-project.eu/vocabularies/ehri-terms/1130>	Trials
<http://data.ehri-project.eu/vocabularies/ehri-terms/223>	Collaborators
<http://data.ehri-project.eu/vocabularies/ehri-terms/282>	Hospitals and Clinics
<http://data.ehri-project.eu/vocabularies/ehri-terms/315>	Children's homes
<http://data.ehri-project.eu/vocabularies/ehri-terms/346>	Pogroms and riots
<http://data.ehri-project.eu/vocabularies/ehri-terms/522>	Deportation trains
<http://data.ehri-project.eu/vocabularies/ehri-terms/541>	Executions
<http://data.ehri-project.eu/vocabularies/ehri-terms/551>	Ghetto liquidation
<http://data.ehri-project.eu/vocabularies/ehri-terms/556>	Forced labour
<http://data.ehri-project.eu/vocabularies/ehri-terms/579>	Judenrat
<http://data.ehri-project.eu/vocabularies/ehri-terms/599>	Shearing of beards
<http://data.ehri-project.eu/vocabularies/ehri-terms/687>	Testimonies, Biographies
