<http://data.ehri-project.eu/vocabularies/ehri-terms/240>	Underground organisations
<http://data.ehri-project.eu/vocabularies/ehri-terms/297>	Help to Jews
<http://data.ehri-project.eu/vocabularies/ehri-terms/351>	The Jewish Question
<http://data.ehri-project.eu/vocabularies/ehri-terms/511>	Prisoners of war
<http://data.ehri-project.eu/vocabularies/ehri-terms/556>	Forced labour
<http://data.ehri-project.eu/vocabularies/ehri-terms/560>	Labour battalions
<http://data.ehri-project.eu/vocabularies/ehri-terms/638>	Movement restrictions
<http://data.ehri-project.eu/vocabularies/ehri-terms/813>	Attitude of the local population
<http://data.ehri-project.eu/vocabularies/ehri-terms/863>	Official documentation
<http://data.ehri-project.eu/vocabularies/ehri-terms/956>	Political movements
<http://data.ehri-project.eu/vocabularies/ehri-terms/969>	Communist movements and organisations
