<http://data.ehri-project.eu/vocabularies/ehri-terms/1136>	Registration
<http://data.ehri-project.eu/vocabularies/ehri-terms/1217>	Stateless people
<http://data.ehri-project.eu/vocabularies/ehri-terms/1226>	Repatriation
<http://data.ehri-project.eu/vocabularies/ehri-terms/329>	Antisemitism
<http://data.ehri-project.eu/vocabularies/ehri-terms/493>	Typhus
<http://data.ehri-project.eu/vocabularies/ehri-terms/505>	Transit camps
<http://data.ehri-project.eu/vocabularies/ehri-terms/545>	Ghettos
<http://data.ehri-project.eu/vocabularies/ehri-terms/569>	Hunger
<http://data.ehri-project.eu/vocabularies/ehri-terms/573>	Liberation
<http://data.ehri-project.eu/vocabularies/ehri-terms/673>	Arts
<http://data.ehri-project.eu/vocabularies/ehri-terms/683>	Books
<http://data.ehri-project.eu/vocabularies/ehri-terms/906>	Zionism
<http://data.ehri-project.eu/vocabularies/ehri-terms/943>	Work
