<http://data.ehri-project.eu/vocabularies/ehri-terms/1136>	Registration
<http://data.ehri-project.eu/vocabularies/ehri-terms/1220>	Postwar period
<http://data.ehri-project.eu/vocabularies/ehri-terms/1226>	Repatriation
<http://data.ehri-project.eu/vocabularies/ehri-terms/292>	Diseases
<http://data.ehri-project.eu/vocabularies/ehri-terms/329>	Antisemitism
<http://data.ehri-project.eu/vocabularies/ehri-terms/505>	Transit camps
<http://data.ehri-project.eu/vocabularies/ehri-terms/518>	Deportations
<http://data.ehri-project.eu/vocabularies/ehri-terms/545>	Ghettos
<http://data.ehri-project.eu/vocabularies/ehri-terms/569>	Hunger
<http://data.ehri-project.eu/vocabularies/ehri-terms/641>	Persecution
<http://data.ehri-project.eu/vocabularies/ehri-terms/677>	Artists
<http://data.ehri-project.eu/vocabularies/ehri-terms/683>	Books
<http://data.ehri-project.eu/vocabularies/ehri-terms/724>	Religion and faith
<http://data.ehri-project.eu/vocabularies/ehri-terms/939>	Transportation
<http://data.ehri-project.eu/vocabularies/ehri-terms/943>	Work
