<http://data.ehri-project.eu/vocabularies/ehri-terms/1069>	Newspapers
<http://data.ehri-project.eu/vocabularies/ehri-terms/1119>	Police
<http://data.ehri-project.eu/vocabularies/ehri-terms/1134>	Schools
<http://data.ehri-project.eu/vocabularies/ehri-terms/193>	Bystanders
<http://data.ehri-project.eu/vocabularies/ehri-terms/262>	Hiding
<http://data.ehri-project.eu/vocabularies/ehri-terms/488>	Arbeitseinsatz
<http://data.ehri-project.eu/vocabularies/ehri-terms/518>	Deportations
<http://data.ehri-project.eu/vocabularies/ehri-terms/641>	Persecution
<http://data.ehri-project.eu/vocabularies/ehri-terms/642>	Persecution of Jews
<http://data.ehri-project.eu/vocabularies/ehri-terms/724>	Religion and faith
<http://data.ehri-project.eu/vocabularies/ehri-terms/837>	Housing
<http://data.ehri-project.eu/vocabularies/ehri-terms/939>	Transportation
<http://data.ehri-project.eu/vocabularies/ehri-terms/940>	Trains
