<http://data.ehri-project.eu/vocabularies/ehri-terms/1038>	Romanian occupation
<http://data.ehri-project.eu/vocabularies/ehri-terms/1069>	Newspapers
<http://data.ehri-project.eu/vocabularies/ehri-terms/1119>	Police
<http://data.ehri-project.eu/vocabularies/ehri-terms/1215>	Partisans
<http://data.ehri-project.eu/vocabularies/ehri-terms/242>	Underground
<http://data.ehri-project.eu/vocabularies/ehri-terms/511>	Prisoners of war
<http://data.ehri-project.eu/vocabularies/ehri-terms/556>	Forced labour
<http://data.ehri-project.eu/vocabularies/ehri-terms/557>	Forced labourers
<http://data.ehri-project.eu/vocabularies/ehri-terms/633>	German Occupation
<http://data.ehri-project.eu/vocabularies/ehri-terms/634>	Interrogations
<http://data.ehri-project.eu/vocabularies/ehri-terms/637>	Local population
<http://data.ehri-project.eu/vocabularies/ehri-terms/813>	Attitude of the local population
<http://data.ehri-project.eu/vocabularies/ehri-terms/951>	Decrees and orders
