<http://data.ehri-project.eu/vocabularies/ehri-terms/1038>	Romanian occupation
<http://data.ehri-project.eu/vocabularies/ehri-terms/1215>	Partisans
<http://data.ehri-project.eu/vocabularies/ehri-terms/242>	Underground
<http://data.ehri-project.eu/vocabularies/ehri-terms/248>	Jewish partisans
<http://data.ehri-project.eu/vocabularies/ehri-terms/258>	Forgeries
<http://data.ehri-project.eu/vocabularies/ehri-terms/496>	Concentration camps
<http://data.ehri-project.eu/vocabularies/ehri-terms/538>	Murder sites
<http://data.ehri-project.eu/vocabularies/ehri-terms/545>	Ghettos
<http://data.ehri-project.eu/vocabularies/ehri-terms/633>	German Occupation
<http://data.ehri-project.eu/vocabularies/ehri-terms/650>	Prisoners
<http://data.ehri-project.eu/vocabularies/ehri-terms/675>	Drawings and paintings
<http://data.ehri-project.eu/vocabularies/ehri-terms/687>	Testimonies, Biographies
<http://data.ehri-project.eu/vocabularies/ehri-terms/694>	Songs
<http://data.ehri-project.eu/vocabularies/ehri-terms/701>	Photographs
<http://data.ehri-project.eu/vocabularies/ehri-terms/794>	Monuments
<http://data.ehri-project.eu/vocabularies/ehri-terms/955>	Investigation Commissions
